Village/Locality name,Officename ( BO/SO/HO),Pincode,Sub-distname,Districtname,StateName,dis from A
Parrys,Chennai G.P.O.,600001,Fort - Tondiarpet,CHENNAI,TAMIL NADU,23.07982849439864
Chennai,Anna Road H.O,600002,Egmore - Nungambakkam,CHENNAI,TAMIL NADU,20.95967371319452
Parrys,Park Town H.O,600003,Fort - Tondiarpet,CHENNAI,TAMIL NADU,21.121266601242
Mylapore,Mylapore H.O,600004,Mylapore - Triplicane,CHENNAI,TAMIL NADU,21.121266601242
Tiruvallikkeni,Tiruvallikkeni S.O,600005,Mylapore - Triplicane,CHENNAI,TAMIL NADU,19.498688135147198
NUNGAMBAKKAM,Greams Road S.O,600006,Egmore - Nungambakkam,CHENNAI,TAMIL NADU,21.121266601242
Vyasarpadi,Vepery S.O,600007,Fort - Tondiarpet,CHENNAI,TAMIL NADU,22.00211679580075
Egmore,Egmore S.O,600008,Egmore - Nungambakkam,CHENNAI,TAMIL NADU,20.37498898617981
Fort St George,Fort St George S.O,600009,Fort - Tondiarpet,CHENNAI,TAMIL NADU,21.121266601242
Kilpauk,Kilpauk S.O,600010,Perambur - Purasawakkam,CHENNAI,TAMIL NADU,21.152126513733947
Perambur,Perambur S.O,600011,Perambur - Purasawakkam,CHENNAI,TAMIL NADU,24.526314022044897
Perambur Barracks,Perambur Barracks S.O,600012,Perambur - Purasawakkam,CHENNAI,TAMIL NADU,27.82074715225001
Royapuram,Rayapuram S.O,600013,Fort - Tondiarpet,CHENNAI,TAMIL NADU,25.84822930239143
Royapettah,Royapettah S.O,600014,Mylapore - Triplicane,CHENNAI,TAMIL NADU,18.21029286123471
Saidapet,Saidapet S.O (Chennai),600015,Mambalam - Guindy,CHENNAI,TAMIL NADU,24.485384013051842
Chennai,Meenambakkam S.O,600016,Kancheepuram,KANCHIPURAM,TAMIL NADU,12.176822717633627
St.Thomas Mount,St.Thomas Mount H.O,600016,Alandur,KANCHIPURAM,TAMIL NADU,12.176822717633627
Thyagaraya Nagar,Thygarayanagar H.O,600017,Mambalam - Guindy,CHENNAI,TAMIL NADU,24.485384013051842
Teynampet,Teynampet S.O,600018,Mylapore - Triplicane,CHENNAI,TAMIL NADU,17.20467393703774
Besant Nagar,Adyar S.O (Chennai),600020,Mylapore - Triplicane,CHENNAI,TAMIL NADU,12.27368916616952
Washermanpet,Washermanpet S.O,600021,Fort - Tondiarpet,CHENNAI,TAMIL NADU,26.33672424265143
Raj Bhavan,Rajbhavan S.O (Chennai),600022,Mambalam - Guindy,CHENNAI,TAMIL NADU,17.69842435696601
Ayanavaram,Aynavaram S.O,600023,Perambur - Purasawakkam,CHENNAI,TAMIL NADU,17.69842435696601
Kodambakkam,Kodambakkam S.O,600024,Mambalam - Guindy,CHENNAI,TAMIL NADU,17.6126426141393
"Engineering College, Guindy",Engineering College S.O (Chennai),600025,Mambalam - Guindy,CHENNAI,TAMIL NADU,17.69842435696601
Vadapalani,Vadapalani S.O,600026,Mambalam - Guindy,CHENNAI,TAMIL NADU,18.028987279957896
Raja Annamalaipuram,Raja Annamalaipuram S.O,600028,Mylapore - Triplicane,CHENNAI,TAMIL NADU,15.277462623291926
Aminjikarai,Aminjikarai S.O,600030,Egmore - Nungambakkam,CHENNAI,TAMIL NADU,20.4624386286554
