CID,CityName/AreaName,Pincode,District,State,Latitude,Longitude,distance(in kms)
101465,Flower Bazaar,600001,Chennai,TAMIL NADU,13.079564094543455,80.26604461669922,14.295614768128377
101466,Govt Stanley Hospital,600001,Chennai,TAMIL NADU,13.079564094543455,80.26604461669922,14.295614768128377
101467,Mannady (Chennai),600001,Chennai,TAMIL NADU,13.079564094543455,80.26604461669922,14.295614768128377
101468,Mint Building,600001,Chennai,TAMIL NADU,13.079564094543455,80.26604461669922,14.295614768128377
101469,MPT AO,600001,Chennai,TAMIL NADU,13.079564094543455,80.26604461669922,14.295614768128377
101470,Sowcarpet,600001,Chennai,TAMIL NADU,13.079564094543455,80.26604461669922,14.295614768128377
101471,Chennai,600001,Chennai,TAMIL NADU,13.079564094543455,80.26604461669922,14.295614768128377
101472,Anna Road,600002,Chennai,TAMIL NADU,13.023935317993164,80.2516326904297,8.10194479671527
101473,Chintadripet,600002,Chennai,TAMIL NADU,13.023935317993164,80.2516326904297,8.10194479671527
101474,Madras Electricity System,600002,Chennai,TAMIL NADU,13.023935317993164,80.2516326904297,8.10194479671527
101475,Edapalayam,600003,Chennai,TAMIL NADU,13.075394630432127,80.26689910888672,13.844161373037238
101476,Madras Medical College,600003,Chennai,TAMIL NADU,13.075394630432127,80.26689910888672,13.844161373037238
101477,Park Town,600003,Chennai,TAMIL NADU,13.075394630432127,80.26689910888672,13.844161373037238
101478,Ripon Buildings,600003,Chennai,TAMIL NADU,13.075394630432127,80.26689910888672,13.844161373037238
101479,Mandaveli,600004,Chennai,TAMIL NADU,13.038474082946776,80.26468658447266,9.755768149445755
101480,Mylapore,600004,Chennai,TAMIL NADU,13.038474082946776,80.26468658447266,9.755768149445755
101481,Vivekananda College Madras,600004,Chennai,TAMIL NADU,13.038474082946776,80.26468658447266,9.755768149445755
101482,Chepauk,600005,Chennai,TAMIL NADU,13.059370994567873,80.2758255004883,12.219873717353739
101483,Madras University,600005,Chennai,TAMIL NADU,13.059370994567873,80.2758255004883,12.219873717353739
101484,Tiruvallikkeni,600005,Chennai,TAMIL NADU,13.059370994567873,80.2758255004883,12.219873717353739
101485,Greams Road,600006,Chennai,TAMIL NADU,13.05889129638672,80.24500274658203,12.010898020893277
101486,Old College Buildings,600006,Chennai,TAMIL NADU,13.05889129638672,80.24500274658203,12.010898020893277
101487,Shastri Bhavan,600006,Chennai,TAMIL NADU,13.05889129638672,80.24500274658203,12.010898020893277
101488,Teynampet West,600006,Chennai,TAMIL NADU,13.05889129638672,80.24500274658203,12.010898020893277
101489,Vepery,600007,Chennai,TAMIL NADU,12.694091796875,79.99707794189453,39.894687714003645
101490,Egmore ND,600008,Chennai,TAMIL NADU,13.072554588317873,80.25841522216797,13.476099646856134
101491,Egmore,600008,Chennai,TAMIL NADU,13.072554588317873,80.25841522216797,13.476099646856134
101492,Ethiraj Salai,600008,Chennai,TAMIL NADU,13.072554588317873,80.25841522216797,13.476099646856134
101493,Fort St George,600009,Chennai,TAMIL NADU,13.08726978302002,80.28990936279298,15.562177587418773
101494,Kilpauk Medical College,600010,Chennai,TAMIL NADU,13.08133316040039,80.24002075195312,14.53614924241887
101495,Kilpauk,600010,Chennai,TAMIL NADU,13.08133316040039,80.24002075195312,14.53614924241887
101496,Medavakkam Tank Road,600010,Chennai,TAMIL NADU,13.08133316040039,80.24002075195312,14.53614924241887
101497,Perambur North,600011,Chennai,TAMIL NADU,13.109823226928713,80.2440414428711,17.636122670255904
101498,Perambur,600011,Chennai,TAMIL NADU,13.109823226928713,80.2440414428711,17.636122670255904
101499,Sembiam,600011,Chennai,TAMIL NADU,13.109823226928713,80.2440414428711,17.636122670255904
101500,Perambur Barracks,600012,Chennai,TAMIL NADU,12.832261085510256,79.95423889160156,35.196126630036524
101501,Puliyanthope,600012,Chennai,TAMIL NADU,12.832261085510256,79.95423889160156,35.196126630036524
101502,Venkatesapuram,600012,Chennai,TAMIL NADU,12.832261085510256,79.95423889160156,35.196126630036524
101503,Rayapuram,600013,Chennai,TAMIL NADU,12.859682083129885,80.1168670654297,18.080911133215903
101504,Lloyds Estate,600014,Chennai,TAMIL NADU,13.05457592010498,80.2662124633789,11.54466866332694
101505,Royapettah,600014,Chennai,TAMIL NADU,13.05457592010498,80.2662124633789,11.54466866332694
101506,Triplicane South,600014,Chennai,TAMIL NADU,13.05457592010498,80.2662124633789,11.54466866332694
101507,Guindy North,600015,Chennai,TAMIL NADU,13.018819808959961,80.22286224365234,8.303770880100977
101508,Saidapet (Chennai),600015,Chennai,TAMIL NADU,13.018819808959961,80.22286224365234,8.303770880100977
101509,Alandur(Reopened W.E.F.6.6.05),600016,Kanchipuram,TAMIL NADU,13.009040832519533,80.19112396240234,9.478793357185813
101510,Chennai Airport,600016,Kanchipuram,TAMIL NADU,13.009040832519533,80.19112396240234,9.478793357185813
101511,Meenambakkam,600016,Kanchipuram,TAMIL NADU,13.009040832519533,80.19112396240234,9.478793357185813
101512,St.Thomas Mount,600016,Kanchipuram,TAMIL NADU,13.009040832519533,80.19112396240234,9.478793357185813
101513,Hindi Prachar Sabha,600017,Chennai,TAMIL NADU,13.043249130249025,80.23480224609374,10.465796287442753
101514,Thygarayanagar,600017,Chennai,TAMIL NADU,13.043249130249025,80.23480224609374,10.465796287442753
101515,Thygarayanagar North ND,600017,Chennai,TAMIL NADU,13.043249130249025,80.23480224609374,10.465796287442753
101516,Thygarayanagar South ND,600017,Chennai,TAMIL NADU,13.043249130249025,80.23480224609374,10.465796287442753
101517,Pr. Accountant General,600018,Chennai,TAMIL NADU,13.037981986999512,80.2557144165039,9.646920586273799
101518,Teynampet,600018,Chennai,TAMIL NADU,13.037981986999512,80.2557144165039,9.646920586273799
101524,Adyar (Chennai),600020,Chennai,TAMIL NADU,13.001423835754395,80.25507354736328,5.602313130622384
101525,Kasturibai Nagar,600020,Chennai,TAMIL NADU,13.001423835754395,80.25507354736328,5.602313130622384
101526,Shastri Nagar (Chennai),600020,Chennai,TAMIL NADU,13.001423835754395,80.25507354736328,5.602313130622384
101527,Washermanpet East,600021,Chennai,TAMIL NADU,13.111709594726562,80.28244018554688,18.047065482563514
101528,Washermanpet,600021,Chennai,TAMIL NADU,13.111709594726562,80.28244018554688,18.047065482563514
101529,Rajbhavan (Chennai),600022,Chennai,TAMIL NADU,13.03030490875244,80.23124694824219,9.172837206534133
101530,Aynavaram,600023,Chennai,TAMIL NADU,13.098272323608398,80.23719787597656,16.433017683313565
