CID,CityName/AreaName,Pincode,District,State,Locality,Location,Latitude,Longitude,distance(in kms)
101465,Flower Bazaar,600001,Chennai,TAMIL NADU,"Flower Bazaar,600001,Chennai,TAMIL NADU","Flower Bazaar Chowk, George Town, Chennai, Tamil Nadu, 600001",13.088193703671566,80.28145515589098,18.57958878803867
101466,Govt Stanley Hospital,600001,Chennai,TAMIL NADU,"Govt Stanley Hospital,600001,Chennai,TAMIL NADU",Blood Bank-Government Stanley Hospital,13.105560000000025,80.28648000000004,20.568511974466634
101467,Mannady (Chennai),600001,Chennai,TAMIL NADU,"Mannady (Chennai),600001,Chennai,TAMIL NADU","Mannady, George Town, Chennai, Tamil Nadu",13.100870000000043,80.29380000000003,20.228572192352136
101468,Mint Building,600001,Chennai,TAMIL NADU,"Mint Building,600001,Chennai,TAMIL NADU",T. N. K. Buildings,13.08471000000003,80.27819000000005,18.1387475550403
101469,MPT AO,600001,Chennai,TAMIL NADU,"MPT AO,600001,Chennai,TAMIL NADU",600001,13.09370000000007,80.29583779900008,19.5123343831257
101470,Sowcarpet,600001,Chennai,TAMIL NADU,"Sowcarpet,600001,Chennai,TAMIL NADU","600001, Sowcarpet, George Town, Chennai, Tamil Nadu",13.090211475719883,80.28564465889032,18.885530160445256
101471,Chennai,600001,Chennai,TAMIL NADU,"Chennai,600001,Chennai,TAMIL NADU",600001,13.09370000000007,80.29583779900008,19.5123343831257
101472,Anna Road,600002,Chennai,TAMIL NADU,"Anna Road,600002,Chennai,TAMIL NADU","Anna Salai, Anna Salai Area, Chennai, Tamil Nadu, 600002",13.06366744686848,80.26483293647927,15.638228638757635
101473,Chintadripet,600002,Chennai,TAMIL NADU,"Chintadripet,600002,Chennai,TAMIL NADU","600002, Chintadripet, Anna Salai, Chennai, Tamil Nadu",13.069073844661292,80.27076400598074,16.30748819199047
101474,Madras Electricity System,600002,Chennai,TAMIL NADU,"Madras Electricity System,600002,Chennai,TAMIL NADU",600002,13.080595000000073,80.27082500000006,17.572171220825567
101475,Edapalayam,600003,Chennai,TAMIL NADU,"Edapalayam,600003,Chennai,TAMIL NADU","Edapalayam, Park Town, Chennai, Tamil Nadu",13.087470000000053,80.27711000000005,18.421271784573246
101476,Madras Medical College,600003,Chennai,TAMIL NADU,"Madras Medical College,600003,Chennai,TAMIL NADU",Madras Medical College,13.08206000000007,80.27901000000008,17.86483124958022
101477,Park Town,600003,Chennai,TAMIL NADU,"Park Town,600003,Chennai,TAMIL NADU","600003, Chennai Central, Park Town, Chennai, Tamil Nadu",13.086005081967231,80.27544223691189,18.23355306494326
101478,Ripon Buildings,600003,Chennai,TAMIL NADU,"Ripon Buildings,600003,Chennai,TAMIL NADU",Ripon Building,13.08158000000003,80.27161000000007,17.691084477657558
101479,Mandaveli,600004,Chennai,TAMIL NADU,"Mandaveli,600004,Chennai,TAMIL NADU","600004, Mandaveli, Chennai, Tamil Nadu",13.027353783480226,80.26790125055527,11.69631669298246
101480,Mylapore,600004,Chennai,TAMIL NADU,"Mylapore,600004,Chennai,TAMIL NADU","600004, Royapettah, Mylapore, Chennai, Tamil Nadu",13.047857110551599,80.27153577211301,13.99851540701946
101481,Vivekananda College Madras,600004,Chennai,TAMIL NADU,"Vivekananda College Madras,600004,Chennai,TAMIL NADU",Ramakrishna Mission Vivekananda College,13.040900000000022,80.26460000000003,13.131252716977194
101482,Chepauk,600005,Chennai,TAMIL NADU,"Chepauk,600005,Chennai,TAMIL NADU","600005, Government Estate, Chepauk, Chennai, Tamil Nadu",13.06792656368259,80.27627249664422,16.27346650243326
101483,Madras University,600005,Chennai,TAMIL NADU,"Madras University,600005,Chennai,TAMIL NADU",Madras University,13.06582000000003,80.28266000000008,16.17882073665639
101484,Tiruvallikkeni,600005,Chennai,TAMIL NADU,"Tiruvallikkeni,600005,Chennai,TAMIL NADU","600005, Royapettah, Thiruvallikeni, Chennai, Tamil Nadu",13.04821607136676,80.27367985708054,14.077290247891261
101485,Greams Road,600006,Chennai,TAMIL NADU,"Greams Road,600006,Chennai,TAMIL NADU","Greams Road, Thousand Lights, Chennai, Tamil Nadu, 600006",13.055763899013696,80.25552586982994,14.696845978918068
101486,Old College Buildings,600006,Chennai,TAMIL NADU,"Old College Buildings,600006,Chennai,TAMIL NADU",600006,13.062070000000062,80.25457835400005,15.39078918433727
101487,Shastri Bhavan,600006,Chennai,TAMIL NADU,"Shastri Bhavan,600006,Chennai,TAMIL NADU","Sastri Bhavan, Urapakkam, Chennai, Kancheepuram, Tamil Nadu",12.86623000000003,80.08015000000006,19.531663333022003
101488,Teynampet West,600006,Chennai,TAMIL NADU,"Teynampet West,600006,Chennai,TAMIL NADU",600006,13.062070000000062,80.25457835400005,15.39078918433727
101489,Vepery,600007,Chennai,TAMIL NADU,"Vepery,600007,Chennai,TAMIL NADU","600007, Periyamet, Vepery, Chennai, Tamil Nadu",13.086562618340208,80.26362278693414,18.149692746574093
101490,Egmore ND,600008,Chennai,TAMIL NADU,"Egmore ND,600008,Chennai,TAMIL NADU","Egmore Chowk, Egmore, Chennai, Tamil Nadu, 600008",13.07546327839996,80.25832818710819,16.887378969894897
101491,Egmore,600008,Chennai,TAMIL NADU,"Egmore,600008,Chennai,TAMIL NADU","600008, Egmore, Pudupet, Chennai, Tamil Nadu",13.069705431594615,80.26104839234058,16.269190946120844
101492,Ethiraj Salai,600008,Chennai,TAMIL NADU,"Ethiraj Salai,600008,Chennai,TAMIL NADU","Ethiraj Salai, Egmore, Chennai, Tamil Nadu, 600008",13.06580479047619,80.25659087660586,15.811347413431657
101493,Fort St George,600009,Chennai,TAMIL NADU,"Fort St George,600009,Chennai,TAMIL NADU","600009, Island Grounds, Fort ST. George, Chennai, Tamil Nadu",13.074200029036394,80.28497584446876,17.13830856210842
101494,Kilpauk Medical College,600010,Chennai,TAMIL NADU,"Kilpauk Medical College,600010,Chennai,TAMIL NADU",Kilpauk Medical College,13.07815000000005,80.24395000000004,17.17849682520071
101495,Kilpauk,600010,Chennai,TAMIL NADU,"Kilpauk,600010,Chennai,TAMIL NADU","600010, Kilpauk, Chennai, Tamil Nadu",13.083652080239425,80.24035290016568,17.806675974352384
101496,Medavakkam Tank Road,600010,Chennai,TAMIL NADU,"Medavakkam Tank Road,600010,Chennai,TAMIL NADU","Medavakkam Tank Road, Ayanavaram, Chennai, Tamil Nadu, 600010",13.092925064968322,80.24093498926234,18.827075296512447
101497,Perambur North,600011,Chennai,TAMIL NADU,"Perambur North,600011,Chennai,TAMIL NADU","Perambur Flyover, Perambur, Chennai, Tamil Nadu, 600011",13.107223014784868,80.24198676792376,20.40111513380374
101498,Perambur,600011,Chennai,TAMIL NADU,"Perambur,600011,Chennai,TAMIL NADU","600011, Perambur, Chennai, Tamil Nadu",13.113252563316989,80.23934774691065,21.082071162233184
101499,Sembiam,600011,Chennai,TAMIL NADU,"Sembiam,600011,Chennai,TAMIL NADU",Sembian,13.112510000000043,80.23727000000008,21.01431040367212
101500,Perambur Barracks,600012,Chennai,TAMIL NADU,"Perambur Barracks,600012,Chennai,TAMIL NADU","Perambur Barracks Road, Otteri, Chennai, Tamil Nadu, 600012",13.096421878028774,80.25912634262312,19.20750600176269
101501,Puliyanthope,600012,Chennai,TAMIL NADU,"Puliyanthope,600012,Chennai,TAMIL NADU","600012, Chennai Central, Pulianthope, Chennai, Tamil Nadu",13.092684080549319,80.27114219107992,18.903856835042372
101502,Venkatesapuram,600012,Chennai,TAMIL NADU,"Venkatesapuram,600012,Chennai,TAMIL NADU","Venkatesapuram, Triplicane, Chennai, Tamil Nadu",13.049730000000068,80.27441000000005,14.256293334515739
101503,Rayapuram,600013,Chennai,TAMIL NADU,"Rayapuram,600013,Chennai,TAMIL NADU","600013, Old Washermanpet, Royapuram, Chennai, Tamil Nadu",13.103903465000432,80.29107898853957,20.48981038605209
101504,Lloyds Estate,600014,Chennai,TAMIL NADU,"Lloyds Estate,600014,Chennai,TAMIL NADU","Lloyds Road, Royapettah, Chennai, Tamil Nadu, 600014",13.047753990597322,80.26593659405644,13.901330549413421
101505,Royapettah,600014,Chennai,TAMIL NADU,"Royapettah,600014,Chennai,TAMIL NADU","600014, Mylapore, Royapettah, Chennai, Tamil Nadu",13.046862254103788,80.26612347626744,13.805861628233254
101506,Triplicane South,600014,Chennai,TAMIL NADU,"Triplicane South,600014,Chennai,TAMIL NADU",Post Office-Triplicane South,13.054300000000069,80.27205000000004,14.711004651427666
101507,Guindy North,600015,Chennai,TAMIL NADU,"Guindy North,600015,Chennai,TAMIL NADU","North Road, Saidapet, Chennai, Tamil Nadu, 600015",13.028360029230065,80.22754508081243,11.919599703727492
101508,Saidapet (Chennai),600015,Chennai,TAMIL NADU,"Saidapet (Chennai),600015,Chennai,TAMIL NADU","600015, Saidapet, Chennai, Tamil Nadu",13.020510254447448,80.22349202410636,11.1793033341398
